sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	disrupted
1459	1	0.8	0.5	39.6661	3.9666	0.9	0	0	0	0.5	0.8099	5.3602	2.4121	5.1296	9303282.1	25	40	1
1460	1	0.8	0.5	39.4293	3.9429	0.9	0	0	0	0.5	1.8362	4.2412	0.6629	3.9009	65475844.9	176	360.1	1
1461	1	0.8	0.5	23.0074	2.3007	0.9	0	0	0	0.5	1.7715	5.0284	3.0471	2.0669	438415.7	8	0.8	1
1462	1	0.8	0.5	26.8276	2.6828	0.9	0	0	0	0.5	1.7383	4.3771	1.3141	0.8316	1247363.2	88	2	1
1463	1	0.8	0.5	42.2969	4.2297	0.9	0	0	0	0.5	0.6995	6.02	5.3671	0.5476	3018666661.2	1316	127	1
1464	1	0.8	0.5	37.1553	3.7155	0.9	0	0	0	0.5	2.3011	1.809	2.6531	1.9336	145192060.4	4750	483	0
1465	1	0.8	0.5	32.676	3.2676	0.9	0	0	0	0.5	2.3636	0.792	2.5628	2.3733	79979926.3	2250	128.6	1
1466	1	0.8	0.5	37.9855	3.7986	0.9	0	0	0	0.5	1.8555	3.1794	1.0139	1.2373	222905792.1	17348	143	0
1467	1	0.8	0.5	24.0007	2.4001	0.9	0	0	0	0.5	0.2868	0.6467	1.5543	1.478	27276.5	1	0.1	1
1468	1	0.8	0.5	26.0783	2.6078	0.9	0	0	0	0.5	1.0601	0.2584	5.7826	3.0224	361513	5	0.4	1
1469	1	0.8	0.5	21.0789	2.1079	0.9	0	0	0	0.5	1.4866	0.236	4.2553	0.9921	97557.9	6	0.2	1
1470	1	0.8	0.5	41.9074	4.1907	0.9	0	0	0	0.5	1.0199	1.0223	1.271	4.3868	16705605.1	76	126.7	1
1471	1	0.8	0.5	24.0759	2.4076	0.9	0	0	0	0.5	0.8048	3.4455	2.4573	4.2152	71529.6	2	0.2	1
1472	1	0.8	0.5	23.9183	2.3918	0.9	0	0	0	0.5	2.7732	4.5479	3.6657	1.5904	4627807.4	142	69.1	1
1473	1	0.8	0.5	27.9001	2.79	0.9	0	0	0	0.5	1.249	3.9321	6.2043	4.1309	1725309.5	33	0.7	1
1474	1	0.8	0.5	27.4987	2.7499	0.9	0	0	0	0.5	0.4134	2.5854	0.9153	2.914	78156.3	3	0.4	1
1475	1	0.8	0.5	23.7987	2.3799	0.9	0	0	0	0.5	1.2178	5.3885	1.653	2.0162	1893030.5	2	0.3	1
1476	1	0.8	0.5	23.9047	2.3905	0.9	0	0	0	0.5	1.0545	2.4654	3.0394	2.2399	29368.8	1	0.2	1
1477	1	0.8	0.5	42.2137	4.2214	0.9	0	0	0	0.5	2.5943	5.1567	1.41	5.5644	273944105.6	3397	26807.8	0
1478	1	0.8	0.5	27.2821	2.7282	0.9	0	0	0	0.5	1.221	1.8723	2.3161	2.7262	2903918.4	12	1.1	1
1479	1	0.8	0.5	32.4471	3.2447	0.9	0	0	0	0.5	2.5219	5.4401	5.4538	2.753	82136562.4	3047	305.6	0
1480	1	0.8	0.5	21.3415	2.1341	0.9	0	0	0	0.5	1.143	2.2995	2.3559	2.4267	86467.5	9	0.3	1
1481	1	0.8	0.5	24.3882	2.4388	0.9	0	0	0	0.5	1.8754	6.1624	1.1307	1.4117	180352	3	1.6	1
1482	1	0.8	0.5	41.8432	4.1843	0.9	0	0	0	0.5	2.3388	2.8935	4.7911	5.5791	298868148.2	4017	4553.9	0
1483	1	0.8	0.5	37.4631	3.7463	0.9	0	0	0	0.5	1.1451	1.8882	6.0161	4.4076	19169599.2	1730	17.2	1
1484	1	0.8	0.5	26.696	2.6696	0.9	0	0	0	0.5	2.2463	5.1308	2.9213	2.6746	8249417.9	24	9.2	1
1485	1	0.8	0.5	38.3923	3.8392	0.9	0	0	0	0.5	2.4019	6.1904	5.7362	3.9526	256237740.2	2935	1296.5	0
1486	1	0.8	0.5	30.8516	3.0852	0.9	0	0	0	0.5	1.1677	3.516	5.4963	3.1664	1751774.6	75	5	1
1487	1	0.8	0.5	28.7149	2.8715	0.9	0	0	0	0.5	0.6523	3.7926	2.008	2.077	924717.8	7	0.9	1
1488	1	0.8	0.5	20.9461	2.0946	0.9	0	0	0	0.5	2.0395	1.7175	1.1409	2.4029	1613681	12	1.2	1
1489	1	0.8	0.5	42.5401	4.254	0.9	0	0	0	0.5	1.1112	0.1294	4.0901	2.6834	169187426.5	891	210.2	1
1490	1	0.8	0.5	36.585	3.6585	0.9	0	0	0	0.5	0.6218	3.6671	4.9632	3.6142	4410568.6	95	14.9	1
1491	1	0.8	0.5	31.5874	3.1587	0.9	0	0	0	0.5	1.5678	1.8162	5.5375	3.9516	4132770.5	25	8.1	1
1492	1	0.8	0.5	31.0034	3.1003	0.9	0	0	0	0.5	2.4543	2.0815	4.09	4.2473	139256227	273	157.4	1
1493	1	0.8	0.5	36.1376	3.6138	0.9	0	0	0	0.5	0.7517	4.2156	5.8741	3.242	982645.9	4	7.3	1
