sim_ind	M1	M2	M3	a_o	r_p_o	e_o	inc_o	Omega_o	omega_o	e_i	inc_i	Omega_i	omega_i	f_i	final_time	outer_orbits	outer_orbits_RW	outer_orbits_RW_without_KL	disrupted
67	1	1	1	30	3	0.9	0	0	0	0.5	0	2.6929	0.1717	3.5415	35735	1	0.5	0.5	1
68	1	1	1	30	3	0.9	0	0	0	0.5	0	2.1766	0.1267	3.4317	306649615.2	8	0.5	0.5	1
69	1	1	1	30	3	0.9	0	0	0	0.5	0	4.704	1.0963	4.9576	35619.8	1	0.5	0.5	1
70	1	1	1	30	3	0.9	0	0	0	0.5	0	5.0942	0.1218	3.0345	540623.8	26	0.5	0.5	1
71	1	1	1	30	3	0.9	0	0	0	0.5	0	4.5695	0.7192	4.3584	37230.3	1	0.5	0.5	1
72	1	1	1	30	3	0.9	0	0	0	0.5	0	1.2742	1.5923	3.5535	35375.8	1	0.5	0.5	1
73	1	1	1	30	3	0.9	0	0	0	0.5	0	2.2356	5.8234	5.9228	38393.6	1	0.5	0.5	1
74	1	1	1	30	3	0.9	0	0	0	0.5	0	1.501	1.4042	3.3323	93911.1	2	0.5	0.5	1
75	1	1	1	30	3	0.9	0	0	0	0.5	0	3.7042	4.0361	3.4859	808576.5	11	0.5	0.5	1
76	1	1	1	30	3	0.9	0	0	0	0.5	0	5.8863	3.2694	3.3374	76109	2	0.5	0.5	1
77	1	1	1	30	3	0.9	0	0	0	0.5	0	6.2582	4.558	3.2401	784171.7	13	0.5	0.5	1
78	1	1	1	30	3	0.9	0	0	0	0.5	0	0.5483	5.6583	4.5609	273418.3	2	0.5	0.5	1
79	1	1	1	30	3	0.9	0	0	0	0.5	0	4.1367	1.3215	0.3313	35691.3	1	0.5	0.5	1
80	1	1	1	30	3	0.9	0	0	0	0.5	0	3.903	5.0461	3.2699	865799.3	124	0.5	0.5	1
81	1	1	1	30	3	0.9	0	0	0	0.5	0	5.4238	1.5899	4.2611	870179256.6	51	0.5	0.5	1
82	1	1	1	30	3	0.9	0	0	0	0.5	0	2.787	4.865	5.5131	180758	12	0.5	0.5	1
83	1	1	1	30	3	0.9	0	0	0	0.5	0	2.0282	5.4941	0.2605	528588.9	30	0.5	0.5	1
84	1	1	1	30	3	0.9	0	0	0	0.5	0	5.4861	1.4707	5.2723	5254150.7	23	0.5	0.5	1
85	1	1	1	30	3	0.9	0	0	0	0.5	0	0.0995	0.8438	4.1751	583072	11	0.5	0.5	1
86	1	1	1	30	3	0.9	0	0	0	0.5	0	2.3663	4.1958	4.168	81686.9	2	0.5	0.5	1
87	1	1	1	30	3	0.9	0	0	0	0.5	0	2.7953	4.7952	4.4534	376351.8	13	0.5	0.5	1
88	1	1	1	30	3	0.9	0	0	0	0.5	0	5.617	1.128	4.1783	272454.7	10	0.5	0.5	1
89	1	1	1	30	3	0.9	0	0	0	0.5	0	0.5513	1.5435	2.5595	1570540.8	15	0.5	0.5	1
90	1	1	1	30	3	0.9	0	0	0	0.5	0	3.3228	0.2115	1.1256	318576	7	0.5	0.5	1
91	1	1	1	30	3	0.9	0	0	0	0.5	0	3.0453	4.8171	3.1572	100860.5	3	0.5	0.5	1
92	1	1	1	30	3	0.9	0	0	0	0.5	0	2.6718	4.1572	2.885	36902.7	1	0.5	0.5	1
93	1	1	1	30	3	0.9	0	0	0	0.5	0	0.0627	5.873	0.9405	65425	2	0.5	0.5	1
94	1	1	1	30	3	0.9	0	0	0	0.5	0	2.1274	2.9858	2.3587	1253491.8	9	0.5	0.5	1
95	1	1	1	30	3	0.9	0	0	0	0.5	0	1.8185	1.535	2.6653	1096379.5	22	0.5	0.5	1
96	1	1	1	30	3	0.9	0	0	0	0.5	0	1.4982	6.0355	3.3403	16365772.9	3	0.5	0.5	1
97	1	1	1	30	3	0.9	0	0	0	0.5	0	2.6178	4.3856	3.3174	37492.8	1	0.5	0.5	1
98	1	1	1	30	3	0.9	0	0	0	0.5	0	0.5591	4.3393	4.1487	10315978.5	11	0.5	0.5	1
99	1	1	1	30	3	0.9	0	0	0	0.5	0	0.4072	5.3486	2.4065	160267.7	18	0.5	0.5	1
100	1	1	1	30	3	0.9	0	0	0	0.5	0	2.7037	3.9531	5.1041	3471224.4	2	0.5	0.5	1
101	1	1	1	30	3	0.9	0	0	0	0.5	0	3.5189	3.4818	4.0022	253715.9	12	0.5	0.5	1
102	1	1	1	30	3	0.9	0	0	0	0.5	0	1.0049	0.6667	2.3445	36898.2	1	0.5	0.5	1
